Unnamed: 0,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,INTERSECTION_RELATED_I,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,DOORING_I,MOST_SEVERE_INJURY,CRASH_HOUR,CRASH_MONTH,LATITUDE,LONGITUDE,CRASH_YEAR,SPEED_LIMIT,geometry,DISPLAYROU,the_geom,DIST,LANE_TYPE,CRASH_DATE,is_severe,index_right,CArea
0,30,NO CONTROLS,NO CONTROLS,SNOW,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ALLEY,STRAIGHT AND LEVEL,WET,UNKNOWN,N,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NO INDICATION OF INJURY,20,1,41.8930077132,-87.6240535191,2018,30,POINT (-87.6240535191 41.8930077132),,,,,2018-01-03,False,7,Near North Side
1,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,Y,NONINCAPACITATING INJURY,17,1,41.9064291205,-87.6715142146,2018,30,POINT (-87.6715142146 41.9064291205),,,,,2018-01-04,False,23,West Town
2,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,DUSK,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NO INDICATION OF INJURY,18,1,41.8893187111,-87.6281526679,2018,30,POINT (-87.6281526679 41.8893187111),,,,,2018-01-04,False,7,Near North Side
3,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,,"REPORTED, NOT EVIDENT",20,1,41.8717454646,-87.6273770319,2018,30,POINT (-87.6273770319 41.8717454646),,,,,2018-01-05,False,31,Loop
4,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,DISREGARDING TRAFFIC SIGNALS,UNABLE TO DETERMINE,,NO INDICATION OF INJURY,20,1,41.8924441521,-87.6372003798,2018,30,POINT (-87.6372003798 41.8924441521),,,,,2018-01-06,False,7,Near North Side
5,30,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,,NO INDICATION OF INJURY,11,1,41.9540584635,-87.6778776533,2018,30,POINT (-87.6778776533 41.9540584635),,,,,2018-01-07,False,4,North Center
6,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,SLEET/HAIL,DARKNESS,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NO INDICATION OF INJURY,17,1,41.9854383617,-87.6693305063,2018,30,POINT (-87.6693305063 41.9854383617),,,,,2018-01-07,False,76,Edgewater
7,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NONINCAPACITATING INJURY,14,1,41.9099750102,-87.7264805231,2018,35,POINT (-87.7264805231 41.9099750102),,,,,2018-01-08,False,22,Humboldt Park
8,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,INCAPACITATING INJURY,15,1,41.9235118102,-87.7923605086,2018,30,POINT (-87.7923605086 41.9235118102),,,,,2018-01-08,True,17,Montclare
9,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NONINCAPACITATING INJURY,14,1,41.7360065646,-87.645341819,2018,35,POINT (-87.645341819 41.7360065646),,,,,2018-01-10,False,70,Auburn Gresham
10,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DUSK,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,,UNABLE TO DETERMINE,NOT APPLICABLE,,NO INDICATION OF INJURY,16,1,41.9032352042,-87.6774060883,2018,30,POINT (-87.6774060883 41.9032352042),,,,,2018-01-10,False,23,West Town
11,30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PEDALCYCLIST,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,,UNABLE TO DETERMINE,NOT APPLICABLE,,NO INDICATION OF INJURY,21,1,41.9459851043,-87.7668799517,2018,30,POINT (-87.7668799517 41.9459851043),,,,,2018-01-10,False,14,Portage Park
12,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NO INDICATION OF INJURY,9,1,41.9119138786,-87.6796128526,2018,30,POINT (-87.6796128526 41.9119138786),,,,,2018-01-11,False,6,Lincoln Park
13,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,,UNABLE TO DETERMINE,NOT APPLICABLE,Y,NO INDICATION OF INJURY,15,1,41.9098897879,-87.6764775763,2018,30,POINT (-87.6764775763 41.9098897879),,,,,2018-01-11,False,23,West Town
14,30,STOP SIGN/FLASHER,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,Y,UNABLE TO DETERMINE,NOT APPLICABLE,,"REPORTED, NOT EVIDENT",17,1,41.8397958933,-87.6342088106,2018,30,POINT (-87.6342088106 41.8397958933),,,,,2018-01-11,False,33,Armour Square
15,15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,ALLEY,STRAIGHT AND LEVEL,DRY,OTHER,,NOT APPLICABLE,NOT APPLICABLE,,NO INDICATION OF INJURY,8,1,41.9677943273,-87.7749436859,2018,15,POINT (-87.7749436859 41.9677943273),,,,,2018-01-12,False,10,Jefferson Park
16,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SNOW,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,WET,WORN SURFACE,Y,DISREGARDING TRAFFIC SIGNALS,IMPROPER OVERTAKING/PASSING,,"REPORTED, NOT EVIDENT",14,1,41.8884444641,-87.6246567021,2018,30,POINT (-87.6246567021 41.8884444641),,,,,2018-01-12,False,7,Near North Side
17,30,STOP SIGN/FLASHER,NOT FUNCTIONING,OTHER,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,,UNABLE TO DETERMINE,NOT APPLICABLE,,INCAPACITATING INJURY,18,1,41.9304061517,-87.709363152,2018,30,POINT (-87.709363152 41.9304061517),,,,,2018-01-12,True,21,Logan Square
18,15,NO CONTROLS,NO CONTROLS,SNOW,DAWN,PEDALCYCLIST,ALLEY,STRAIGHT AND LEVEL,WET,NO DEFECTS,,NOT APPLICABLE,FAILING TO YIELD RIGHT-OF-WAY,,NONINCAPACITATING INJURY,17,1,41.7505970632,-87.6259552054,2018,15,POINT (-87.6259552054 41.7505970632),,,,,2018-01-14,False,43,Chatham
19,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,UNABLE TO DETERMINE,NOT APPLICABLE,,NONINCAPACITATING INJURY,7,1,41.8896342529,-87.6297442999,2018,30,POINT (-87.6297442999 41.8896342529),,,,,2018-01-17,False,7,Near North Side
20,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,FAILING TO REDUCE SPEED TO AVOID CRASH,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,,NO INDICATION OF INJURY,9,1,41.8740036384,-87.6766023411,2018,30,POINT (-87.6766023411 41.8740036384),,,,,2018-01-18,False,27,Near West Side
21,30,NO CONTROLS,NO CONTROLS,SNOW,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,IMPROPER LANE USAGE,,NONINCAPACITATING INJURY,12,1,41.9103971859,-87.6761810964,2018,30,POINT (-87.6761810964 41.9103971859),,,,,2018-01-18,False,23,West Town
22,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NONINCAPACITATING INJURY,13,1,41.9314089056,-87.7114814187,2018,30,POINT (-87.7114814187 41.9314089056),,,,,2018-01-19,False,21,Logan Square
23,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",UNABLE TO DETERMINE,,NONINCAPACITATING INJURY,18,1,41.8939587626,-87.6478411876,2018,30,POINT (-87.6478411876 41.8939587626),,,,,2018-01-19,False,7,Near North Side
24,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,OTHER,DARKNESS,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,BICYCLE ADVANCING LEGALLY ON RED LIGHT,NOT APPLICABLE,,"REPORTED, NOT EVIDENT",18,1,41.7559957905,-87.6443282389,2018,30,POINT (-87.6443282389 41.7559957905),,,,,2018-01-19,False,70,Auburn Gresham
25,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,"CURVE, LEVEL",DRY,NO DEFECTS,,FOLLOWING TOO CLOSELY,NOT APPLICABLE,,NONINCAPACITATING INJURY,10,1,41.985890541,-87.6694651261,2018,30,POINT (-87.6694651261 41.985890541),,,,,2018-01-20,False,76,Edgewater
27,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,,NONINCAPACITATING INJURY,17,1,41.8264369015,-87.685066849,2018,30,POINT (-87.685066849 41.8264369015),,,,,2018-01-20,False,57,Brighton Park
28,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,Y,"REPORTED, NOT EVIDENT",18,1,41.9374868011,-87.644167376,2018,30,POINT (-87.644167376 41.9374868011),,,,,2018-01-20,False,5,Lake View
29,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,N,NONINCAPACITATING INJURY,12,1,41.8575762809,-87.6742018849,2018,30,POINT (-87.6742018849 41.8575762809),,,,,2018-01-21,False,30,Lower West Side
30,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,UNABLE TO DETERMINE,NOT APPLICABLE,,NO INDICATION OF INJURY,14,1,41.9165472742,-87.6663116789,2018,30,POINT (-87.6663116789 41.9165472742),,,,,2018-01-21,False,6,Lincoln Park
31,30,STOP SIGN/FLASHER,OTHER,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,,WEATHER,NOT APPLICABLE,,NONINCAPACITATING INJURY,18,1,41.9633240796,-87.67888359,2018,30,POINT (-87.67888359 41.9633240796),,,,,2018-01-21,False,3,Lincoln Square
32,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,,IMPROPER LANE USAGE,UNABLE TO DETERMINE,,NO INDICATION OF INJURY,14,1,41.8800422213,-87.7706572834,2018,30,POINT (-87.7706572834 41.8800422213),,,,,2018-01-22,False,24,Austin
33,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO DEFECTS,,UNABLE TO DETERMINE,NOT APPLICABLE,Y,NONINCAPACITATING INJURY,19,1,41.8867762041,-87.6397377275,2018,30,POINT (-87.6397377275 41.8867762041),,,,,2018-01-22,False,7,Near North Side
34,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,Y,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,,"REPORTED, NOT EVIDENT",17,1,41.9651960972,-87.6665701243,2018,30,POINT (-87.6665701243 41.9651960972),,,,,2018-01-23,False,2,Uptown
35,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,,NO INDICATION OF INJURY,10,1,41.8807566347,-87.6241898577,2018,30,POINT (-87.6241898577 41.8807566347),,,,,2018-01-24,False,31,Loop
36,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,UNABLE TO DETERMINE,ANIMAL,,"REPORTED, NOT EVIDENT",16,1,41.9259227501,-87.7025041211,2018,30,POINT (-87.7025041211 41.9259227501),,,,,2018-01-24,False,21,Logan Square
37,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,EXCEEDING SAFE SPEED FOR CONDITIONS,,NO INDICATION OF INJURY,18,1,41.9616062143,-87.6746707619,2018,30,POINT (-87.6746707619 41.9616062143),,,,,2018-01-24,False,3,Lincoln Square
38,25,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,OTHER,STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,WEATHER,EXCEEDING SAFE SPEED FOR CONDITIONS,,NONINCAPACITATING INJURY,7,1,41.9775583516,-87.7876916995,2018,25,POINT (-87.7876916995 41.9775583516),,,,,2018-01-25,False,10,Jefferson Park
39,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,UNABLE TO DETERMINE,NOT APPLICABLE,Y,NONINCAPACITATING INJURY,13,1,41.9564658216,-87.7472475335,2018,30,POINT (-87.7472475335 41.9564658216),,,,,2018-01-25,False,14,Portage Park
40,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,OTHER,STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,,"REPORTED, NOT EVIDENT",8,1,41.8996773654,-87.6624234004,2018,30,POINT (-87.6624234004 41.8996773654),,,,,2018-01-26,False,23,West Town
41,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,,NONINCAPACITATING INJURY,9,1,41.997454541,-87.6994328269,2018,30,POINT (-87.6994328269 41.997454541),,,,,2018-01-26,False,1,West Ridge
42,30,LANE USE MARKING,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,UNKNOWN,,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,,NONINCAPACITATING INJURY,12,1,41.8721074313,-87.6392082277,2018,30,POINT (-87.6392082277 41.8721074313),,,,,2018-01-26,False,27,Near West Side
43,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,,NO INDICATION OF INJURY,16,1,41.9379091616,-87.6488486007,2018,25,POINT (-87.6488486007 41.9379091616),,,,,2018-01-26,False,5,Lake View
44,35,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,,NO INDICATION OF INJURY,17,1,41.9537568745,-87.7276985131,2018,35,POINT (-87.7276985131 41.9537568745),,,,,2018-01-26,False,15,Irving Park
45,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,,NONINCAPACITATING INJURY,18,1,41.9629316981,-87.727734716,2018,30,POINT (-87.727734716 41.9629316981),,,,,2018-01-26,False,13,Albany Park
46,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,IMPROPER TURNING/NO SIGNAL,,NONINCAPACITATING INJURY,23,1,41.9022226624,-87.7215628357,2018,30,POINT (-87.7215628357 41.9022226624),,,,,2018-01-27,False,22,Humboldt Park
47,25,NO CONTROLS,NO CONTROLS,OTHER,DAYLIGHT,PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NO INDICATION OF INJURY,11,1,41.8918756745,-87.6223708575,2018,25,POINT (-87.6223708575 41.8918756745),,,,,2018-01-29,False,7,Near North Side
48,30,NO CONTROLS,UNKNOWN,CLEAR,DAYLIGHT,PEDALCYCLIST,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,,NO INDICATION OF INJURY,13,1,41.8806252837,-87.633943618,2018,30,POINT (-87.633943618 41.8806252837),,,,,2018-01-29,False,31,Loop
49,35,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,PEDALCYCLIST,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,Y,"REPORTED, NOT EVIDENT",15,1,41.851896701,-87.7036108314,2018,35,POINT (-87.7036108314 41.851896701),,,,,2018-01-29,False,28,North Lawndale
50,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,,NONINCAPACITATING INJURY,18,1,41.8087194375,-87.6646076264,2018,30,POINT (-87.6646076264 41.8087194375),,,,,2018-01-29,False,60,New City
51,15,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ALLEY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NO INDICATION OF INJURY,23,1,42.0159376028,-87.6682441047,2018,15,POINT (-87.6682441047 42.0159376028),,,,,2018-01-29,False,0,Rogers Park
52,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,FAILING TO YIELD RIGHT-OF-WAY,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",,NO INDICATION OF INJURY,17,1,41.8892581895,-87.6355708424,2018,30,POINT (-87.6355708424 41.8892581895),,,,,2018-01-30,False,7,Near North Side
53,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,,NO INDICATION OF INJURY,7,1,41.8966641887,-87.6214457294,2018,30,POINT (-87.6214457294 41.8966641887),,,,,2018-01-31,False,7,Near North Side
54,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,"CURVE, LEVEL",DRY,NO DEFECTS,Y,IMPROPER TURNING/NO SIGNAL,FAILING TO YIELD RIGHT-OF-WAY,,"REPORTED, NOT EVIDENT",11,1,41.8897944558,-87.6655623757,2018,30,POINT (-87.6655623757 41.8897944558),,,,,2018-01-31,False,23,West Town
55,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ONE-WAY,STRAIGHT ON GRADE,DRY,NO DEFECTS,,NOT APPLICABLE,NOT APPLICABLE,,NO INDICATION OF INJURY,18,1,41.9517600151,-87.7249463375,2018,30,POINT (-87.7249463375 41.9517600151),,,,,2018-01-31,False,15,Irving Park
56,35,UNKNOWN,UNKNOWN,OTHER,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,,NOT APPLICABLE,NOT APPLICABLE,,INCAPACITATING INJURY,19,2,41.876670159,-87.7651853939,2018,35,POINT (-87.7651853939 41.876670159),,,,,2018-02-01,True,24,Austin
57,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,,NONINCAPACITATING INJURY,14,2,41.9166143383,-87.6576825337,2018,35,POINT (-87.6576825337 41.9166143383),,,,,2018-02-02,False,6,Lincoln Park
58,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,,"REPORTED, NOT EVIDENT",18,2,41.9825765859,-87.6944209983,2018,30,POINT (-87.6944209983 41.9825765859),,,,,2018-02-02,False,3,Lincoln Square
59,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,"RUT, HOLES",,ROAD CONSTRUCTION/MAINTENANCE,UNABLE TO DETERMINE,,"REPORTED, NOT EVIDENT",18,2,41.902948169,-87.6430463187,2018,30,POINT (-87.6430463187 41.902948169),,,,,2018-02-02,False,7,Near North Side
60,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,,NONINCAPACITATING INJURY,19,2,41.9589381508,-87.665055557,2018,30,POINT (-87.665055557 41.9589381508),,,,,2018-02-03,False,2,Uptown
61,30,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,,NO INDICATION OF INJURY,17,2,41.7262602588,-87.5507245868,2018,30,POINT (-87.5507245868 41.7262602588),,,,,2018-02-04,False,45,South Chicago
62,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SNOW,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NONINCAPACITATING INJURY,21,2,41.990670826,-87.6721359604,2018,30,POINT (-87.6721359604 41.990670826),,,,,2018-02-06,False,76,Edgewater
63,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,UNKNOWN,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NO INDICATION OF INJURY,19,2,41.9855760454,-87.6601764914,2018,30,POINT (-87.6601764914 41.9855760454),,,,,2018-02-07,False,76,Edgewater
64,30,NO CONTROLS,NO CONTROLS,SNOW,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,Y,INCAPACITATING INJURY,15,2,41.9104593518,-87.6719997325,2018,30,POINT (-87.6719997325 41.9104593518),,,,,2018-02-08,True,23,West Town
