Unnamed: 0,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,INTERSECTION_RELATED_I,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,DOORING_I,MOST_SEVERE_INJURY,CRASH_HOUR,CRASH_MONTH,LATITUDE,LONGITUDE,CRASH_YEAR,SPEED_LIMIT,geometry,DISPLAYROU,the_geom,DIST,LANE_TYPE,CRASH_DATE,is_severe,index_right,CArea
8413,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,UNABLE TO DETERMINE,UNABLE TO DETERMINE,Y,NONINCAPACITATING INJURY,18,2,41.6924957828,-87.6209778671,2023,30,POINT (-87.6209778671 41.6924957828),,,,,2023-02-04,False,48,Roseland
8414,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,,"REPORTED, NOT EVIDENT",19,2,41.9847329931,-87.7675272877,2023,30,POINT (-87.7675272877 41.9847329931),,,,,2023-02-04,False,10,Jefferson Park
8415,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,"REPORTED, NOT EVIDENT",14,2,41.9313096155,-87.7549968394,2023,30,POINT (-87.7549968394 41.9313096155),,,,,2023-02-05,False,18,Belmont Cragin
8416,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NONINCAPACITATING INJURY,20,2,41.9123685444,-87.6798373529,2023,30,POINT (-87.6798373529 41.9123685444),,,,,2023-02-05,False,6,Lincoln Park
8417,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,,NO INDICATION OF INJURY,11,2,41.8350647903,-87.646058492,2023,25,POINT (-87.646058492 41.8350647903),,,,,2023-02-06,False,30,Lower West Side
8418,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,ALLEY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,UNABLE TO DETERMINE,NOT APPLICABLE,,NO INDICATION OF INJURY,15,2,41.9510344554,-87.6675614496,2023,30,POINT (-87.6675614496 41.9510344554),,,,,2023-02-06,False,5,Lake View
8419,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,,NO INDICATION OF INJURY,5,2,41.8444097476,-87.7208351247,2023,30,POINT (-87.7208351247 41.8444097476),,,,,2023-02-07,False,29,South Lawndale
8420,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,,NONINCAPACITATING INJURY,15,2,41.8997983047,-87.6685445318,2023,30,POINT (-87.6685445318 41.8997983047),,,,,2023-02-07,False,23,West Town
8421,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT,N,NOT APPLICABLE,UNABLE TO DETERMINE,,INCAPACITATING INJURY,11,2,41.7215474119,-87.628892953,2023,30,POINT (-87.628892953 41.7215474119),,,,,2023-02-08,True,48,Roseland
8422,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,Y,NO INDICATION OF INJURY,12,2,41.9609602305,-87.7179761918,2023,30,POINT (-87.7179761918 41.9609602305),,,,,2023-02-08,False,13,Albany Park
8423,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,,NONINCAPACITATING INJURY,12,2,41.9486836744,-87.6436497585,2023,30,POINT (-87.6436497585 41.9486836744),,,,,2023-02-08,False,5,Lake View
8424,10,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,ALLEY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,,NONINCAPACITATING INJURY,15,2,41.7900565433,-87.686894159,2023,10,POINT (-87.686894159 41.7900565433),,,,,2023-02-08,False,62,Gage Park
